Column Name,Short Column Name,Description,Data Type,Units,Example Value,Remarks
Was this latest pregnancy planned?,Pregnancy plan,Whether the pregnancy was planned,String,Category,Yes,Whether pregnancy was planned
Had regular checkups?,Regular checkups,Attended regular prenatal checkups,String,Category,Yes,Whether respondent had regular checkups
Fear of pregnancy?,Fear of pregnancy,Experienced fear related to pregnancy,String,Category,No,Whether respondent had pregnancy-related fears
Diseases during pregnancy?,Diseases during pregnancy,Any medical conditions during pregnancy,List of Strings,Category (Multiple),Gestational diabetes,"Any diseases during pregnancy, multiple choices allowed"
Age of newborn,Age of newborn,Current age of the newborn,String,Months,Six months to one year,Age of newborn in months
"Age of older children, if any",Age of immediate older children,age_prev_baby,List of Integers,Years,"5, 8",Ages of older children if applicable
Mode of delivery,Mode of delivery,Delivery method,String,Category,Cesarean section,Type of delivery
Gender of newborn,Gender of newborn,Sex of the newborn,String,Category,Boy,Gender of the newborn
Any birth complications?,Birth compliancy,Complications experienced during delivery,String,Category,No,Whether there were birth complications
Do you breastfeed?,Breastfeed,Current breastfeeding status,String,Category,Yes,Whether respondent breastfeeds the newborn
Any illness of the infant?,Newborn illness,Any health issues with the newborn,String,Category,No,Whether the infant had any illness
Are you constantly worried about the newborn's health and activities?,Worry about newborn,Level of concern over the baby's health,String,Category,Yes,Level of worry about newborn’s health
Can you relax/sleep when the newborn is monitored by someone else?,Relax/sleep when newborn is tended ,Ability to relax when others monitor the baby,String,Category,Yes,Whether respondent can rest when someone else monitors the baby
Can you relax/sleep when the newborn is asleep?,Relax/sleep when the newborn is asleep,Ability to rest when the baby is sleeping,String,Category,Yes,Whether respondent can rest while newborn sleeps
"Have you been feeling angry, irritated, and difficult to calm down after childbirth?",Angry after latest child birth,Postpartum emotional instability,String,Category,No,Emotional state post-childbirth
How do you feel to perform regular activities like before pregnancy?,Feeling for regular activities,Comfort level in resuming daily activities,List of Strings,Category (Multiple),Tired,How respondent feels about resuming regular activities
Depression before pregnancy (PHQ2),Depression before pregnancy (PHQ2),"Depression before pregnancy, measured by PHQ2 scale",String,Category,Negative,Depression status before pregnancy using Patient Health Questionnaire-2
Depression during pregnancy (PHQ2),Depression during pregnancy (PHQ2),"Depression during pregnancy, measured by PHQ2 scale",String,Category,Negative,Depression status during pregnancy using Patient Health Questionnaire-2
PHQ9 Score,PHQ9 Score,"Postpartum depression, measured by PHQ9 scale",Integer,Count,10,Postpartum depression severity score using Patient Health Questionnaire-9
PHQ9 Result,PHQ9 Result,"Postpartum depression, measured and labelled by PHQ9 scale ",String,Category,Mild,Postpartum depression severity level using Patient Health Questionnaire-9
EPDS Score,EPDS Score,"Postpartum depression, measured by EPDS scale",Integer,Count,3,Postpartum depression severity score using Edinburgh Postnatal Depression Scale
EPDS Result,EPDS Result,"Postpartum depression, measured and labelled by EPDS scale ",String,Category,High,Postpartum depression severity level using Edinburgh Postnatal Depression Scale
